(c) Der Bundeswahlleiter, Wiesbaden 2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wahlbewerberinnen und Wahlbewerber für die Wahl zum 9. Europäischen Parlament (26. Mai 2019) aus der Bundesrepublik Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stand:;12.04.2019;08:56;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Format: CSV. Trennzeichen: Semikolon. Zeichensatz: UTF-8 mit BOM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wahlart;Wahltag;Titel;Namenszusatz;Nachname;Vorname;Geschlecht;Geburtjahr;PLZ;Wohnort;WohnortLandAbk;Geburtsort;Staatsangehörigkeit;Beruf;Berufsschluessel;Kennzeichen;Gebietsart;Gebietsnummer;Gebietsname;GebietLandAbk;Gruppenname;GruppennameLang;Listenplatz;VerknKennzeichen;VerknGebietsart;VerknGebietsnummer;VerknGebietsname;VerknGebietLandAbk;VerknGruppenname;VerknListenplatz;VorpGewaehlt
EP;26.05.2019;;;Barette;Geraldine;w;1978;10247;Berlin;BE;Namur;DE;Kommunikationsdesignerin;23;Bewerber;Bund;99;Bundesgebiet;Bund;SPD;Sozialdemokratische Partei Deutschlands;83;Ersatzbewerber;Bund;99;Bundesgebiet;;SPD;79;
EP;26.05.2019;;;Barimis;Michel;m;1987;90461;Nürnberg;BY;Fürth (Bay.);DE;Kaufmann für Büromanagement;71;Bewerber;Bund;99;Bundesgebiet;Bund;MLPD;Marxistisch-Leninistische Partei Deutschlands;20;;;;;;;;
EP;26.05.2019;Dr.;;Barley;Katarina;w;1968;54338;Schweich;RP;Köln;DE;MdB, Juristin;71;Bewerber;Bund;99;Bundesgebiet;Bund;SPD;Sozialdemokratische Partei Deutschlands;1;;;;;;;;
EP;26.05.2019;Dr.;;Barlow;Geoffrey Keith;m;1957;04347;Leipzig;SN;Lichfield;DE;Dipl.-Historiker;91;Bewerber;Bund;99;Bundesgebiet;Bund;DIE LINKE;DIE LINKE;12;;;;;;;;
EP;26.05.2019;;;Bartelmei;Christel;w;1965;26345;Bockhorn;NI;Eppstein;DE;Dipl.-Kauffrau;61;Bewerber;Land;03;Niedersachsen;NI;CDU;Christlich Demokratische Union Deutschlands;10;;;;;;;;
EP;26.05.2019;;;Bartl;Thomas;m;1957;71636;Ludwigsburg;BW;Bad Canstatt;DE;Rentner;05;Bewerber;Bund;99;Bundesgebiet;Bund;Graue Panther;Graue Panther;9;;;;;;;;
EP;26.05.2019;;;Bartsch;Felix Wolfgang;m;1997;90513;Zirndorf;BY;Fürth;DE;Schüler;04;Bewerber;Bund;99;Bundesgebiet;Bund;FDP;Freie Demokratische Partei;115;;;;;;;;
EP;26.05.2019;;;Bartscher;Vincent Felix;m;1994;58239;Schwerte;NW;Essen;DE;Student;04;Bewerber;Bund;99;Bundesgebiet;Bund;FDP;Freie Demokratische Partei;39;;;;;;;;
EP;26.05.2019;;;Barutta;Bernhard Heinrich;m;1961;69493;Hirschberg an der Bergstraße;BW;Essen;DE;ltd. Angestellter;71;Bewerber;Bund;99;Bundesgebiet;Bund;FREIE WÄHLER;FREIE WÄHLER;4;;;;;;;;
EP;26.05.2019;;;Basu Mallick;Oliver;m;1974;44791;Bochum;NW;Halle (Westf.);DE;Referent philanthr. Engagement und Stiftungsbetreuung;83;Bewerber;Bund;99;Bundesgebiet;Bund;SPD;Sozialdemokratische Partei Deutschlands;94;Ersatzbewerber;Bund;99;Bundesgebiet;;SPD;8;
